category,message
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Customer place i will call you.
ham,"Its good, we'll find a way"
ham,Yes:)sura in sun tv.:)lol.
ham,I cant pick the phone right now. Pls send a message
ham,He needs to stop going to bed and make with the fucking dealing
ham,Just sent it. So what type of food do you like?
ham,what is your account number?
ham,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...
ham,Why nothing. Ok anyway give me treat
ham,Hey are we going for the lo lesson or gym?
ham,Ok...
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
ham,Pls i wont belive god.not only jesus.
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm."
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
ham,Ryder unsold.now gibbs.
ham,Bring home some Wendy =D
ham,Boo. How's things? I'm back at home and a little bored already :-(
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
ham,Was the actual exam harder than NBME
ham,Nt yet chikku..simple habba..hw abt u?
ham,I dunno lei... Like dun haf...
ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
ham,ok....take care.umma to you too...
ham,Jay's getting really impatient and belligerent
ham,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
ham,Don know:)this week i'm going to tirunelvai da.
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,Ok. So april. Cant wait
ham,I'm going out to buy mum's present ar.
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,I havent lei.. Next mon can?
ham,Oh k. . I will come tomorrow
ham,Hmm thinking lor...
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,Hey what happen de. Are you alright.
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,In da car park
ham,"I'm in a meeting, call me later at"
ham,Great comedy..cant stop laughing da:)
ham,Ill call you evening ill some ideas.
ham,:( but your not here....
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,Eatin my lunch...
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,Where's my boytoy? I miss you ... What happened?
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,Okay same with me. Well thanks for the clarification
ham,Oh really?? Did you make it on air? What's your talent?
ham,Good evening! How are you?
ham,Pathaya enketa maraikara pa'
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,I'm leaving my house now.
ham,"alright, I'll make sure the car is back tonight"
ham,Did you get any gift? This year i didnt get anything. So bad
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,Even if he my friend he is a priest call him now
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,Er yep sure. Props?
ham,Do u noe wat time e place dat sells 4d closes?
ham,What happen to her tell the truth
ham,(You didn't hear it from me)
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,Anything lor if they all go then i go lor...
ham,K...k...yesterday i was in cbe .
ham,"Awesome, I'll see you in a bit"
ham,Me fine..absolutly fine
ham,"Aight, see you in a bit"
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,Everybody had fun this evening. Miss you.
ham,Why you Dint come with us.
ham,Hey whats up? U sleeping all morning?
ham,Hey leave it. not a big deal:-) take care.
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
ham,Lol! Oops sorry! Have fun.
ham,3 pa but not selected.
ham,DO U WANT 2 MEET UP 2MORRO
ham,So u wan 2 come for our dinner tonight a not?
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
ham,Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx
ham,Hey what are you doing. Y no reply pa..
ham,Dear :-/ why you mood off. I cant drive so i brother to drive
ham,Ok. C u then.
ham,Dad went out oredi...
ham,"Me not waking up until 4 in the afternoon, sup"
ham,Already am squatting is the new way of walking
ham,When are you guys leaving?
ham,Well there's still a bit left if you guys want to tonight
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Buy one egg for me da..please:)
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,S.this will increase the chance of winning.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,Its too late:)but its k.wish you the same.
ham,Cancel cheyyamo?and get some money back?
ham,I'm thinking that chennai forgot to come for auction..
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,He is there. You call and meet him
ham,I am on the way to ur home
ham,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.."
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Speaking of does he have any cash yet?
ham,I'm aight. Wat's happening on your side.
ham,Send to someone else :-)
ham,"Yo, you at jp and hungry like a mofo?"
ham,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
ham,Ok going to sleep. Hope i can meet her.
ham,"Sorry, I'll call later"
ham,"I call you later, don't have network. If urgnt, sms me."
ham,"G says you never answer your texts, confirm/deny"
ham,You are a very very very very bad girl. Or lady.
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
ham,Double eviction this week - Spiral and Michael and good riddance to them!
ham,I am late. I will be there at
ham,Ard 515 like dat. Y?
ham,I will take care of financial problem.i will help:)
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Yup ok...
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,Hui xin is in da lib.
ham,No..few hours before.went to hair cut .
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,That's one of the issues but california is okay. No snow so its manageable
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,Ya very nice. . .be ready on thursday
ham,Ok lor. I'm in town now lei.
ham,dont make ne plans for nxt wknd coz she wants us to come down then ok
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,Why i come in between you people
ham,"I'm not sure, I was just checking out what was happening around the area"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,Lol where do u come up with these ideas?
ham,My sister cleared two round in birla soft yesterday.
ham,"How long before you get reply, just defer admission til next semester"
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
ham,"Me, i dont know again oh"
ham,Kay... Since we are out already
ham,Still work going on:)it is very small house.
ham,Ü comin to fetch us oredi...
ham,Haven't left yet so probably gonna be here til dinner
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,You are a big chic. Common. Declare
ham,Okie...
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,I have gone into get info bt dont know what to do
ham,I'm gonna rip out my uterus.
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
ham,Anytime...
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
ham,:-) :-)
ham,What you doing?how are you?
ham,"No, its true..k,Do u knw dis no. &lt;#&gt; ?"
ham,"Uh, heads up we don't have THAT much left"
ham,Do u still have plumbers tape and a wrench we could borrow?
ham,Dear are you angry i was busy dear
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,Have you always been saying welp?
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,Yup next stop.
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
ham,He didn't see his shadow. We get an early spring yay
ham,Kothi print out marandratha.
ham,Shhhhh nobody is supposed to know!
ham,You do got a shitload of diamonds though
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
ham,Oic... I saw him too but i tot he din c me... I found a group liao...
ham,Ok how you dear. Did you call chechi
ham,A guy who gets used but is too dumb to realize it.
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
ham,Anything lor is she coming?
ham,Oh ho. Is this the first time u use these type of words
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,U still going to the mall?
ham,No probably  &lt;#&gt; %.
ham,How much i gave to you. Morning.
ham,"Just checked out, heading out to drop off my stuff now"
ham,But pls dont play in others life.
ham,You unbelievable faglord
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
ham,"Ask g or iouri, I've told the story like ten times already"
ham,"Haven't seen my facebook, huh? Lol!"
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,Go fool dont cheat others ok
ham,Just curious because my cuz asked what I was up to
ham,She told to hr that he want posting in chennai:)because i'm working here:)
ham,I asked sen to come chennai and search for job.
ham,Ü thk of wat to eat tonight.
ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
ham,"It‘s £6 to get in, is that ok?"
ham,LOL what happens in Vegas stays in vegas
ham,Sorry for the delay. Yes masters
ham,Whos this am in class:-)
ham,K k pa Had your lunch aha.
ham,"And how you will do that, princess? :)"
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
ham,"Thanks, I'll keep that in mind"
ham,Thanx but my birthday is over already.
ham,What * u wearing?
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,I'm freezing and craving ice. Fml
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,No break time one... How... I come out n get my stuff fr ü?
ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,I'm in class. Will holla later
ham,Eh u send wrongly lar...
ham,aathi..where are you dear..
ham,Ew are you one of them?
ham,I am waiting for your call sir.
ham,What you did in  leave.
ham,Please don't text me anymore. I have nothing else to say.
ham,Where u been hiding stranger?
ham,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,Still i have not checked it da. . .
ham,Okay but i thought you were the expert
ham,Omg it could snow here tonite!
ham,Ok c ü then.
ham,"Ok, be careful ! Don't text and drive !"
ham,No da..today also i forgot..
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Will it help if we propose going back again tomorrow
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham,"Sorry battery died, yeah I'm here"
ham,Dear got bus directly to calicut
ham,How are you doing. How's the queen. Are you going for the royal wedding
ham,K:)all the best:)congrats...
ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
ham,Ok.ok ok..then..whats ur todays plan
ham,I've told you everything will stop. Just dont let her get dehydrated.
ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,Ok...
ham,Why you keeping me away like this
ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
ham,I will see in half an hour
ham,K.k..how is your sister kids?
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
ham,"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
ham,Dont you have message offer
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
ham,Neva mind it's ok..
ham,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,Cos daddy arranging time c wat time fetch ü mah...
ham,I not at home now lei...
ham,here is my new address -apples&pairs&all that malarky
ham,Anything lar then ü not going home 4 dinner?
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,Hey u still at the gym?
ham,Lol wtf random. Btw is that your lunch break
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
ham,Wen did you get so spiritual and deep. That's great
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,U in town alone?
ham,Gam gone after outstanding innings.
ham,"Carlos took a while (again), we leave in a minute"
ham,I think the other two still need to get cash but we can def be ready by 9
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
ham,"If we hit it off, you can move in with me :)"
ham,"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8"
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
ham,Gud mrng dear have a nice day
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
ham,Waaaat?? Lololo ok next time then!
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
ham,No one interested. May be some business plan.
ham,K..k.:)congratulation ..
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Don no da:)whats you plan?
ham,U sure u can't take any sick time?
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
ham,Hi:)did you asked to waheeda fathima about leave?
ham,Is ur lecture over?
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
ham,Yeah imma come over cause jay wants to do some drugs
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Then cant get da laptop? My matric card wif ü lei...
ham,Is that seriously how you spell his name?
ham,K:)eng rocking in ashes:)
ham,Same to u...
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
ham,Ugh fuck it I'm resubbing to eve
ham,Do you know where my lab goggles went
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?!
ham,Shall i ask one thing if you dont mistake me.
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,Jos ask if u wana meet up?
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,"It's ok, at least armand's still around"
ham,Tell rob to mack his gf in the theater
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must."
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Hey i've booked the 2 lessons on sun liao...
ham,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
ham,Now project pa. After that only i can come.
ham,Am slow in using biola's fne
ham,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
ham,Sweet heart how are you?
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,Ok...
ham,I meant middle left or right?
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Roger that. We‘re probably going to rem in about 20
ham,Sorry me going home first... Daddy come fetch ü later...
ham,Those ducking chinchillas
ham,Hello! Good week? Fancy a drink or something later?
